,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,168.0,345.0,116.48653093328136,6.305828712625562,-27.58204574060008,0.02
2,345.0,483.0,121.64659551707658,5.419176641857632,-27.60152703656127,0.012215274
3,483.0,603.0,126.56155505997098,4.798936580953903,-27.334992677970128,0.012622585
4,603.0,705.0,135.59766390428086,6.286286191518331,-26.557396318273362,0.01309156
5,705.0,777.0,144.06286599236793,5.620705432416096,-25.76424392318355,0.15
6,777.0,843.0,150.22567206761724,5.919136065651553,-25.44331628310159,0.15
7,843.0,936.0,158.0043644172083,6.137657132732426,-25.770463519073306,0.15
8,936.0,1503.0,172.48666329038105,11.046086358985528,-25.336377405857146,0.15
