,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,171.0,495.0,121.16748815343666,5.3314434114878235,-28.3844727716247,0.013000000000000001
2,495.0,636.0,128.50706936051918,6.371131527942763,-27.922406661013977,0.15
3,636.0,822.0,142.89902100929433,7.05649405851019,-27.611327820744492,0.012
4,822.0,2052.0,159.65216656244547,11.127474248962061,-26.669706113747193,0.012
