,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,159.0,429.0,115.16997287232194,7.399298190108106,-27.788649860862158,0.011756298
2,429.0,615.0,125.65122925353637,6.424992894359181,-26.43185074817167,0.012960727
3,615.0,819.0,141.76203376990054,7.556621580083266,-26.53661227978199,0.012727425
4,819.0,1629.0,160.09584723704512,11.117018857743004,-26.236876863306225,0.012084893
