,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,159.0,429.0,115.16997287232194,7.399298190108106,2.6,0.026000000000000002,-28.03434413,0.011756298,1.1015,0.0017
2,429.0,615.0,125.65122925353637,6.424992894359181,24.2,0.242,-26.45521475,0.012960727,1.0938,0.0018
3,615.0,819.0,141.76203376990054,7.556621580083266,37.6,0.376,-26.47392568,0.012727425,1.0724,0.0016
4,819.0,1629.0,160.09584723704512,11.117018857743004,35.7,0.35700000000000004,-26.07604708,0.012084893,1.0668,0.0016
