,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,168.0,555.0,125.7048482612052,6.556620314154476,0.127,0.00127,-29.94418943,0.15,0.959253417,0.0015619820000000002
2,555.0,720.0,133.76719571290727,5.441805707232255,0.47700000000000004,0.004770000000000001,-27.96476603,0.15,0.9286342890000001,0.001431175
3,720.0,915.0,150.5440718721545,8.465528888225846,0.235,0.00235,-25.23207315,0.15,0.905699853,0.0016815970000000002
4,915.0,1698.0,180.83199175127365,16.405643630368587,0.161,0.00161,-24.89051775,0.15,0.7607722109999999,0.001180923
