,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,165.0,456.0,121.65094091851297,6.0490806082011215,-27.413789348894714,0.15
2,456.0,657.0,127.85140892031896,5.481814360769878,-26.970168747001754,0.15
3,657.0,756.0,142.68535090626233,6.256508775805162,-25.57218316035492,0.15
4,756.0,822.0,150.5382308970414,5.621339881181566,-25.191342145435947,0.15
5,822.0,933.0,156.9970716041234,5.408576531740873,-25.86388309306553,0.15
6,933.0,1659.0,183.31761250369522,19.954760443808894,-25.181186529518286,0.15
