,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,183.0,561.0,125.57065392707615,6.837439229380727,-26.934450355516894,0.15
2,561.0,693.0,136.05024110152135,6.907900710310483,-27.036651026227766,
3,693.0,816.0,149.0575698220957,6.735740712323169,-26.336977377893422,0.15
4,816.0,1521.0,163.69292672456146,9.087330790701913,-24.90030636502183,0.15
