,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,183.0,561.0,125.57065392707615,6.837439229380727,0.071,0.0007099999999999999,-27.0982219,0.15,1.064493412,0.0015676879999999998
2,561.0,693.0,136.05024110152135,6.907900710310483,0.36200000000000004,0.0036200000000000004,-27.0,,1.08541474,0.001825486
3,693.0,816.0,149.0575698220957,6.735740712323169,0.37200000000000005,0.0037200000000000006,-26.3043711,0.15,1.082606495,0.0015252870000000002
4,816.0,1521.0,163.69292672456146,9.087330790701913,0.187,0.0018700000000000001,-24.78199265,0.15,1.06456315,0.001540758
