,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,147.0,324.0,116.15769459948487,6.2494142506906645,0.41,0.0040999999999999995,-28.0,0.02,1.0479,0.0026
2,324.0,462.0,120.69031881953637,5.786377080968553,2.18,0.021800000000000003,-27.86539074,0.012215274,1.0375,0.0015
3,462.0,582.0,125.57106150933856,4.487641441211909,3.8,0.038,-27.35934807,0.012622585,1.0029,0.0014
4,582.0,684.0,132.87646903214556,6.192586415350509,1.85,0.018500000000000003,-26.43619748,0.01309156,0.9867,0.0014
5,684.0,756.0,142.12814547752038,5.6371166086818665,0.577099237,0.00577099237,-25.67770863,0.15,0.9649333590000001,0.0016816829999999998
6,756.0,819.0,148.15064695071874,5.71698752401651,0.410381679,0.00410381679,-25.323701999999997,0.15,0.945864458,0.0016391560000000001
7,819.0,915.0,155.656054240535,6.35524960593145,0.333435115,0.00333435115,-25.66176463,0.15,0.90653329,0.001597105
8,915.0,1482.0,170.6982549059003,11.087054339391772,0.359083969,0.00359083969,-25.18170075,0.15,0.751394751,0.001253996
