,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,147.0,324.0,116.15769459948487,6.2494142506906645,-27.56283804320947,0.02
2,324.0,462.0,120.69031881953637,5.786377080968553,-27.585421553451894,0.012215274
3,462.0,582.0,125.57106150933856,4.487641441211909,-27.276143307863766,0.012622585
4,582.0,684.0,132.87646903214556,6.192586415350509,-26.568259058616263,0.01309156
5,684.0,756.0,142.12814547752038,5.6371166086818665,-25.755429389728302,0.15
6,756.0,819.0,148.15064695071874,5.71698752401651,-25.433140955938292,0.15
7,819.0,915.0,155.656054240535,6.35524960593145,-25.777254009098915,0.15
8,915.0,1482.0,170.6982549059003,11.087054339391772,-25.328599226949745,0.15
