file_name	seed	formula_x	formula_y
2021-10-12-12-43_seed_9922.png	9922	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-43_seed_5745.png	5745	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-43_seed_5708.png	5708	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-43_seed_1594.png	1594	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-43_seed_6238.png	6238	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-43_seed_1224.png	1224	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-43_seed_2410.png	2410	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-43_seed_3589.png	3589	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_3558.png	3558	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_7003.png	7003	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_1848.png	1848	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_9671.png	9671	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_935.png	935	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_8200.png	8200	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_9764.png	9764	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_2458.png	2458	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_2089.png	2089	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_6730.png	6730	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_9720.png	9720	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_1143.png	1143	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_5604.png	5604	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_4007.png	4007	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_3064.png	3064	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_1479.png	1479	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_9987.png	9987	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_4527.png	4527	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_8822.png	8822	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_8793.png	8793	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-44_seed_27.png	27	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
