,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,141.0,498.0,122.97893087990236,6.724505243775089,0.084,0.00084,-30.6674979,0.15,0.867800523,0.001352884
2,498.0,624.0,130.50393007607033,6.093489912031415,0.335,0.00335,-30.32144835,0.15,0.886725091,0.001367262
3,624.0,747.0,141.18849017199966,6.179230488066491,0.257,0.0025700000000000002,-27.43920015,0.15,0.884487099,0.001372301
4,747.0,1623.0,154.56802562419264,8.475057979515185,0.323,0.0032300000000000002,-25.8897171,0.15,0.781426622,0.001222
