Number,Depth,Fraction,Min. Temp,Max. Temp,T50,Frac Prop,TFrac. Prop. Mass,uE,sigmaE,Bulk uE,Bulk sE,Fm,Fm error,d13C,d13C Error,Bulk Fm,Cum. Fm,% Fm Err,Bulk d13C,Cum. d13C,Cum. d13C err,Group,Measured,Corr_Fm
4,30-50,Bulk Soil,375,415,394,,0.112714286,151.2845505,6.428521056,,,0.8535,0.0015,-25.4,0.15,,,,,,,Density,T,0.853797676
5,30-50,Bulk Soil,415,455,425,,0.090714286,160.6734633,5.680293793,,,0.8323,0.0013,-25.2,0.15,,,,,,,Density,T,0.832733588
6,30-50,Bulk Soil,455,505,475,,0.072714286,165.3879271,2.558933146,,,0.7927,0.0014,-24.7,0.15,,,,,,,Density,T,0.793561759
7,30-50,Bulk Soil,505,750,552,,0.050714286,167.7822917,1.634327242,,,0.3227,0.0008,-23.6,0.15,,,,,,,Density,T,0.344231475
,,,,,,,,,,,,,,,,,,,,,,,,
1,30-50,FPOM,140,290,267,0.156,0.208,125.5706539,6.837439229,141.7787363,15.85648354,1.064493412,0.001567688,-27.0982219,0.15,1.087,1.074996635,1.110396269,-26.31,-26.29575043,-0.014249565,Density,T,1.063428417
2,30-50,FPOM,290,350,320,,0.328,136.0502411,6.90790071,,,1.08541474,0.001825486,-27,0.15,,,,,,,Density,T,1.085080324
3,30-50,FPOM,350,400,374,,0.2,149.0575698,6.735740712,,,1.082606495,0.001525287,-26.3043711,0.15,,,,,,,Density,T,1.082161249
4,30-50,FPOM,400,750,443,,0.264,163.6929267,9.087330791,,,1.06456315,0.001540758,-24.78199265,0.15,,,,,,,Density,T,1.062603728
,,,,,,,,,,,,,,,,,,,,,,,,
1,30-50,OPOM,140,285,269,0.082,0.12925,126.5028098,6.032800275,144.3298155,14.67830933,0.851808808,0.001331477,-30.4,0.15,0.847,0.848760898,0.20768236,-26.34,-28.319275,1.979275,Density,T,0.853296358
2,30-50,OPOM,285,370,326,,0.43425,136.576333,8.148494077,,,0.869443792,0.001414935,-28.9,0.15,,,,,,,Density,T,0.869666647
3,30-50,OPOM,370,435,402,,0.29025,153.4710436,6.339900229,,,0.822184491,0.001289918,-27.4,0.15,,,,,,,Density,T,0.822551952
4,30-50,OPOM,435,750,459,,0.14725,164.8133067,11.08450002,,,0.831712017,0.001297425,-26.4,0.15,,,,,,,Density,T,0.835005524
,,,,,,,,,,,,,,,,,,,,,,,,
