Depth,Frac,Lab/Run,SampleNo,SampleName,Temp_max,Temp_50,Temp_mid,Temp_min,Frac_No,FracPropTot,d13C,d13C_err,FracC_OG,CummC_Final,Cum14C_Final,Bulk_14C,CummC,Cumm14C_OG,Cumm13C_OG,FracCPaper,Cumm14C_paper,Cumm13CPaper,Bulk_13C,AMS d13C,Int.Err,Ext.Err,Fm,Fm_err,D14C,D14C_err,Age,Age_err,Age_prof,Del14C,Del14C_err,Corr_Fm
0-10 cm,H2O2 Res.,UCI-Oct,UCIT38984,WeP4_0-10_H2O2_Oct_4_380-815,814,,490,380,4,0.135309,-25.9,0.15,0.312,0.225,-152.967794,-148,0.999,-153.0157302,-27.86,0.283,-152.967794,-28.51,,-31.9258,0.4990138,1.989163,0.781426622,0.001222,-218.5733779,1.221999974,1980,15,2040,-224.2242628,1.221999974,0.786457933
0-10 cm,MOM,UCI-Oct,UCIT38973,WeP4_0-10_MOM_Oct_1_140-250,250,,195,140,1,0.851,-27.71983485,0.15,0.096,0.182,,-23,0.096,,,0.114,,,-27.01249331,-35.79252,0.4865892,1.067189,1.03747568,0.00159744,37.47567992,1.597439796,-290,15,54,28.85249037,1.597439796,1.037301225
0-10 cm,MOM,UCI-Oct,UCIT38974,WeP4_0-10_MOM_Oct_2_367-330,330,,290,250,2,0.851,-26.94621686,0.15,0.579,0.569,,-23,0.675,,,0.453,,,,-35.10562,0.4865892,1.026458,0.991183909,0.001526404,-8.816091117,1.52640428,70,15,130,-17.05451722,1.52640428,0.991174165
0-10 cm,MOM,UCI-Jan,227096,WeP4_0-10_MOM_F4_tempC_335-370,370,,352.5,335,5,0.851,-25.5,0.15,,0.135,,-23,0.912023026,,,,,,,,,,0.9631,0.0016,,,300,15,,-45,1.6,0.963087345
0-10 cm,MOM,UCI-Jan,227097,WeP4_0-10_MOM_F5_tempC_370-400,400,,385,370,6,0.851,-25.1,0.15,,0.05,,-23,0.941766447,,,,,,,,,,0.9444,0.0016,,,460,15,,-63.5,1.6,0.944528585
0-10 cm,MOM,UCI-Jan,227098,WeP4_0-10_MOM_F6_tempC_400-450,450,,425,400,7,0.851,-25.7,0.15,,0.039,,-23,0.974213816,,,,,,,,,,0.9012,0.0016,,,835,15,,-106.4,1.6,0.901668864
0-10 cm,MOM,UCI-Jan,227099,WeP4_0-10_MOM_F7_tempC_450-750,750,,600,450,8,0.851,-25,0.15,,0.026,-31.05198465,-23,0.999,,,,,,,,,,0.7277,0.0025,,,2555,30,,-278.5,2.5,0.741260602
0-10 cm,OPOM,UCI-Aug,UCIT38785,WeP4_0-10_OPOM_F1_tempC_140-250,260,,200,140,1,0.062,-28.62643722,0.013077151,0.102,0.16,,-23,0.102,,,0.102,,,,-29.4,0.5,0.3,1.0397,0.0015,39.7,1.5,-305,15,53,31,1.5,1.03913285
0-10 cm,OPOM,UCI-Aug,UCIT38786,WeP4_0-10_OPOM_F2_tempC_250-320,320,,290,260,2,0.062,-28.25035647,0.012277748,0.421,0.366,,-23,0.523,,,0.421,,,,-29.8,0.5,0.5,0.9962,0.0015,-3.8,1.5,30,15,90,-12.1,1.5,0.996124579
0-10 cm,OPOM,UCI-Aug,UCIT38787,WeP4_0-10_OPOM_F3_tempC_320-360,400,,360,320,3,0.062,-27.55297014,0.012174712,0.191,0.349,,-23,0.714,,,0.191,,,,-25.3,0.5,0.9,0.9848,0.0017,-15.2,1.7,125,15,185,-23.3,1.7,0.984817329
0-10 cm,OPOM,UCI-Aug,UCIT38788,WeP4_0-10_OPOM_F4_tempC_360-700,891,,500,400,4,0.062,-26.49513033,0.012001057,0.286,0.126,-17.83484852,-23,1,-17.83484852,-27.65,0.286,-17.83484852,-27.65,,-24.12156,0.4576123,0.8311655,0.968052959,0.001610617,-31.9470406,1.610616859,260,15,320,-39.99320913,1.610616859,0.96831933
30-50 cm,Bulk,UCI-Aug,UGIT38797,WeP4_30-50_Bulk_F1_tempC_140_280,280,259,210,140,1,,-27.81409228,0.01351982,0.081,0.081,,-182.8,0.156,,,0.156,,,,-21.89007,0.4673186,1.855684,0.82301046,0.001665348,-176.9895404,1.665348012,1565,20,1625,-183.8301588,1.665348012,0.833658952
30-50 cm,Bulk,UCI-Aug,UCIT38798,WeP4_30-50_Bulk_F2_tempC_280_335,335,311,307.5,280,2,,-28.44581497,0.013773314,0.121,0.121,,-182.8,0.53,,,0.374,,,,-20.42226,0.4673186,2.115061,0.841215354,0.001613013,-158.7846462,1.613012968,1390,20,1450,-165.7765782,1.613012968,0.840140758
30-50 cm,Bulk,UCI-Aug,UCIT38799,WeP4_30-50_Bulk_F3_tempC_335_375,375,353,355,335,3,,-26.81032492,0.014611353,0.349,0.349,,-182.8,0.681,,,0.151,,,,-23.77435,0.5130552,0.8762042,0.843392549,0.001608492,-156.6074508,1.608492378,1370,20,1430,-163.617479,1.608492378,0.853225019
30-50 cm,Bulk,UCI-Aug,UCIT38801,WeP4_30-50_Bulk_F4_tempC_375_415,415,394,395,375,4,,-25.363562,0.15,0.223,0.223,-170.4141105,-182.8,0.794,-170.4141105,-26.49,0.113,,,,,,,0.853546775,0.001487794,,,1270,15,,-153.650035,1.487794491,0.853797676
30-50 cm,Bulk,UCI-Jan,UCIT39318,WeP4_30-50_Bulk_F5_tempC_415_455,455,434,435,415,5,,-25.18294638,0.15,,,,-182.8,0.883,,,0.089,,,,,,,0.832291118,0.001319991,,,1475,15,,-174.7264719,1.319990967,0.832733588
30-50 cm,Bulk,UCI-Jan,UCIT39319,WeP4_30-50_Bulk_F6_tempC_455_505,505,477,480,455,6,,-24.725802,0.15,,,,-182.8,0.954,,,0.071,,,,,,,0.792719791,0.001393421,,,1865,15,,-213.9641476,1.393421294,0.793561759
30-50 cm,Bulk,UCI-Jan,UCIT39320,WeP4_30-50_Bulk_F7_tempC_505_750,750,542,627.5,505,7,,-23.589792,0.15,,,,-182.8,0.998,,,0.044,-180.4287488,-26.92693978,-26.16237474,,,,0.610205528,0.038389957,,,,,,-385,35,0.344231475
30-50 cm,NaF Res.,UCI-Aug,UCIT38814,WeP4_30-50_ExtrRes_F1_tempC_140-270,270,,205,,1,0.299096,-27.96801837,0.012480936,0.226,0.226,,-292.5,0.109,,,0.226,,,-26.08,-19.09107,0.461132,1.960909,0.798386557,0.001414038,-201.6134426,1.414037941,1810,15,1870,-208.2493944,1.414037941,0.800158616
30-50 cm,NaF Res.,UCI-Aug,UCIT38815,WeP4_30-50_ExtrRes_F2_tempC_270-310,310,,290,,2,0.299096,-27.00043452,0.012746177,0.27,0.27,,-292.5,0.537,,,0.27,,,,-20.04651,0.461132,1.80708,0.785651714,0.001565695,-214.3482863,1.56569515,1940,20,2000,-220.8783899,1.56569515,0.786203384
30-50 cm,NaF Res.,UCI-Aug,UCIT38816,WeP4_30-50_ExtrRes_F3_tempC_310-360,360,,335,,3,0.299096,-24.67350283,0.013709173,0.213,0.213,,-292.5,0.871,,,0.213,,,,-14.64913,0.3875273,1.549146,0.757676919,0.001342773,-242.3230814,1.342773032,2230,15,2290,-248.6206668,1.342773032,0.758607318
30-50 cm,NaF Res.,UCI-Aug,UCIT38817,WeP4_30-50_ExtrRes_F4_tempC_360-700,687,,480,,4,0.299096,-28.03014102,0.050442228,0.292,0.292,-288.8205069,-292.5,1,-288.8205069,-27.05,0.292,-288.8205069,-27.05,,-16.71937,0.461132,2.146253,0.562335692,0.001198677,-437.6643083,1.198677107,4625,20,4685,-442.3382754,1.198677107,0.573031311
30-50 cm,FPOM,UCI-Aug,UCIT38802,WeP4_30-50_FPOM_F1_tempC_140-290,290,,215,,1,0.156,-27.55014265,0.011873965,0.206,0.206,,78.3,0.109,,,0.113,,,,-30.51236,0.4707604,0.6176048,1.064493412,0.001567688,64.49341236,1.567688307,-495,15,5,55.64565944,1.567688307,1.063428417
30-50 cm,FPOM,UCI-Aug,UCIT38803,WeP4_30-50_FPOM_F2_tempC_290-350,350,,320,,2,0.156,-26.97833694,0.012812774,0.327,0.327,,78.3,0.537,,,0.35,,,,-28.89766,0.3820146,0.6304264,1.08541474,0.001825486,85.41474048,1.825485968,-655,15,8,76.3930957,1.825485968,1.085080324
30-50 cm,FPOM,UCI-Aug,UCIT38804,WeP4_30-50_FPOM_F3_tempC_350-400,402,,376,,3,0.156,-26.39888733,0.013412702,0.201,0.201,,78.3,0.871,,,0.212,,,,-25.77248,0.4346867,0.6328252,1.082606495,0.001525287,82.60649455,1.525286677,-635,15,6,73.60819107,1.525286677,1.082161249
30-50 cm,FPOM,UCI-Aug,UCIT38805,WeP4_30-50_FPOM_F4_tempC_400-700,703,,501,,4,0.156,-26.46535087,0.012569456,0.267,0.267,66.11465084,78.3,1,66.11465084,-26.87,0.319,66.40350632,-26.59,,-22.50251,0.4328977,0.9603442,1.06456315,0.001540758,64.56315012,1.540758082,-500,15,5,55.71481756,1.540758082,1.062603728
30-50 cm,H2O2 Res.,UCI-Aug,UCIT38810,WeP4_30-50_H2O2_F1_tempC_140-285,287,,213.5,,1,0.154889,-25.42840607,0.012761274,0.3,0.3,,-376.9,0.109,,,0.435,,,-26.28,-18.95138,0.4328977,2.19633,0.687922458,0.001935264,-312.0775419,1.935263884,3005,25,3065,-317.7953489,1.935263884,0.690305119
30-50 cm,H2O2 Res.,UCI-Aug,UCIT38811,WeP4_30-50_H2O2_F2_tempC_285-335,340,,313.5,,2,0.154889,-26.96628072,0.013280861,0.239,0.239,,-376.9,0.537,,,0.259,,,,-20.42104,0.4328977,1.775926,0.751640741,0.001652137,-248.3592594,1.652136631,2295,20,2355,-254.6066738,1.652136631,0.752167383
30-50 cm,H2O2 Res.,UCI-Aug,UCIT38812,WeP4_30-50_H2O2_F3_tempC_335-378,387,,363.5,,3,0.154889,-28.65904681,0.012754049,0.198,0.198,,-376.9,0.871,,,0.306,,,,-18.29113,0.4652283,2.089499,0.730029822,0.001648573,-269.9701781,1.648573488,2530,20,2590,-276.037969,1.648573488,0.730976336
30-50 cm,H2O2 Res.,UCI-Aug,UCIT38813,WeP4_30-50_H2O2_F4_tempC_378-900,890,,493.5,,4,0.154889,-27.28389933,0.05488708,0.263,0.263,-365.9047044,-376.9,1,-365.9047044,-26.92,0,-288.6517238,-26.82,,-16.0638,0.461132,1.966889,0.413859701,0.001468511,-586.1402992,1.468510782,7085,30,7145,-589.580178,1.468510782,0.42710666
30-50 cm,MOM,UCI-Aug,UCIT38806,WeP4_30-50_MOM_F1_tempC_140-285,285,,212.5,,1,0.763,,,0.236,0.236,,-220.9,0.109,,,0.236,,,-26.04,-21.49892,0.4652283,1.764165,0.773132048,0.00155487,-226.8679522,1.554870039,2065,20,2125,-233.293996,1.554870039,0.774943049
30-50 cm,MOM,UCI-Aug,UCIT38807,WeP4_30-50_MOM_F2_tempC_285-345,345,,315,,2,0.763,-26.46535087,0.012569456,0.323,0.323,,-220.9,0.537,,,0.323,,,,-20.13407,0.4652283,1.839965,0.791411593,0.001190246,-208.5884067,1.190245968,1880,15,1940,-215.1663847,1.190245968,0.791808064
30-50 cm,MOM,UCI-Aug,UCIT38808,WeP4_30-50_MOM_F3_tempC_345-395,395,,370,,3,0.763,-25.53273908,0.01332547,0.216,0.216,,-220.9,0.871,,,0.216,,,,-18.24329,0.4652283,1.838585,0.781432286,0.001590699,-218.5677138,1.590699167,1980,20,2040,-225.0627468,1.590699167,0.781992952
30-50 cm,MOM,UCI-Aug,UCIT38809,WeP4_30-50_MOM_F4_tempC_395-745,700,,497.5,,4,0.763,-25.49989434,0.01327424,0.226,0.226,-242.3712058,-220.9,1,-242.3712058,,0.226,-242.3712058,,,-15.66604,0.3843892,1.902442,0.699613532,0.001359326,-300.3864682,1.359326051,2870,20,2930,-306.201448,1.359326051,0.704302366
30-50 cm,OPOM,UCI-Oct,UCIT38985,WeP2_30-50_OPOM_Oct_1_140-285,285,,212.5,,1,0.082,-30.4,0.15,0.074,0.074,,,0.109,,,0.074,,,,-33.22001,0.4990138,1.314026,0.851808808,0.001331477,-148.1911918,1.33147715,1290,15,1350,-154.3510454,1.33147715,0.853296358
30-50 cm,OPOM,UCI-Oct,UCIT38986,WeP2_30-50_OPOM_Oct_2_285-370,370,,327.5,,2,0.082,-28.9,0.15,0.362,0.362,,,0.537,,,0.362,,,,-30.96045,0.6847153,1.044822,0.869443792,0.001414935,-130.5562084,1.41493504,1125,15,1185,-136.8435893,1.41493504,0.869666647
30-50 cm,OPOM,UCI-Oct,UCIT38987,WeP2_30-50_OPOM_Oct_3_370-435,435,,402.5,,3,0.082,-27.4,0.15,0.372,0.372,,,0.871,,,0.372,,,,-35.83321,0.4990138,2.131413,0.822184491,0.001289918,-177.8155089,1.289917531,1575,15,1635,-183.7611342,1.289917531,0.822551952
30-50 cm,OPOM,UCI-Oct,UCIT38988,WeP2_30-50_OPOM_Oct_4_435-839,830,,517.5,,4,0.082,-26.4,0.15,0.185,0.185,-161.5644624,,1,-161.5644624,-27.77,0.185,-161.5644624,-27.77,,-32.75829,0.4990138,1.640212,0.831712017,0.001297425,-168.2879834,1.297424921,1480,15,1540,-174.302507,1.297424921,0.835005524
0-10 cm,NaF Extract,Exploratories,,WeP4_0-10_NaFExtract_Bulk,500,,500,,4,0.563362,,,,1,,13,1,,,,,,,,,,1.020502747,0.0015,,,,,55,13,1.5,
30-50 cm,NaF Extract,Exploratories,,WeP4_30-50_NaFExtract_Bulk,500,,500,,4,0.463904,,,,1,,-191,1,,,,,,,,,,0.814991829,0.0015,,,,,1637,-191,1.5,
0-10 cm,H2O2 Extract,Calculated,,WeP4_0-10_H2O2_extract_calc,,,,,4,0.716,,,,1,,5.5,1,,,,,,,,,,1.012947199,,,,,,54,5.5,1.5,
30-50 cm,H2O2 Extract,Calculated,,WeP4_30-50_H2O2_extract_calc,,,,,4,0.608,,,,1,,-189.5,1,,,,,,,,,,0.816502938,,,,,,1622,-189.5,1.5,
