,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,162.0,483.0,119.71202468730843,8.574272137819007,0.11900000000000001,0.00119,-26.08,0.1,0.7984,0.0014
2,483.0,588.0,129.16708729326697,4.870369974020049,0.228,0.0022800000000000003,-26.08,0.1,0.7857,0.0016
3,588.0,708.0,137.86242229174763,6.047188146979063,0.295,0.00295,-26.08,0.1,0.7577,0.0013
4,708.0,1521.0,166.65690952420582,20.920750317642188,0.36,0.0036,-26.08,0.1,0.5623,0.0012
