date_time,fraction,ug_frac,d13C,d13C_std,Fm,Fm_std,temp,bulk13,bulk14,d14C,d14C_err
1:00:01 AM,-1,0,0,0,0,0,0,-26.28,-376.9,,
1:03:13 AM,0,0,0,0,0,0,140,,,,
1:10:25 AM,1,0.158,-26.28,0.15,0.6879,0.0019,302,,,-317.8,1.9
1:12:28 AM,2,0.286,-26.28,0.15,0.7516,0.0017,354,,,-254.6,1.7
1:14:22 AM,3,0.195,-26.28,0.15,0.7300,0.0016,402,,,-276.0,1.6
1:28:25 AM,4,0.331,-26.28,0.15,0.4139,0.0015,750,,,-589.6,1.5
