,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),mass (ugC),mass std. (ugC),d13C (VPDB),d13C std. (VPDB),Fm,Fm std.
1,177.0,435.0,115.57948557763548,7.29799727985351,2.6,0.026000000000000002,-28.03434413,0.011756298,1.1015,0.0017
2,435.0,630.0,126.27770780918848,6.637372014567215,24.2,0.242,-26.45521475,0.012960727,1.0938,0.0018
3,630.0,825.0,142.67946294898235,7.415526387996786,37.6,0.376,-26.47392568,0.012727425,1.0724,0.0016
4,825.0,1464.0,160.29488758219543,10.260368599060742,35.7,0.35700000000000004,-26.07604708,0.012084893000000001,1.0668,0.0016
