date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:58 AM,101,76.8933333333333,77.5,77.5,76.8933333333333,77.3334763769277
1:01:01 AM,102,79.4933333333333,89.6666666666667,90,79.4933333333333,81.0826507807727
1:01:04 AM,104,83.1933333333333,97,97,83.1933333333333,89.1647025112183
1:01:07 AM,105,88.0133333333333,99,99,88.0133333333333,93.6472129018907
1:01:10 AM,106,93.4633333333333,102.666666666667,103,93.4633333333333,98.5238016855773
1:01:13 AM,107,92.3914583333333,104,104,92.3914583333333,103.723216989628
1:01:16 AM,108,88.4714583333333,102.5,102.5,88.4714583333333,108.58993332265
1:01:19 AM,109,84.2214583333333,99.5,99.5,84.2214583333333,112.322356788562
1:01:22 AM,110,79.7714583333333,98,98,79.7714583333333,114.118893491287
1:01:25 AM,111,75.0714583333333,94.3333333333333,94,75.0714583333333,113.177949534744
1:01:28 AM,112,69.9964583333333,91.2,91,69.9964583333333,108.917647729467
1:01:31 AM,113,64.363125,97,97,64.363125,101.634977712447
1:01:34 AM,114,58.363125,118,118,58.363125,91.8466458272877
1:01:37 AM,115,52.313125,140.4,149,52.313125,80.0693584175929
1:01:40 AM,116,46.2297916666667,155,155,46.2297916666667,66.8198218269667
1:01:43 AM,117,40.1797916666667,29.0625,0,40.1797916666667,52.6039964153626
1:01:46 AM,118,34.3047916666667,-21.4,-22,34.3047916666667,37.8848586081326
1:01:49 AM,119,28.6297916666667,-24,-24,28.6297916666667,23.1146388469782
1:01:52 AM,121,23.1297916666667,-24,-24,23.1297916666667,-4.77012477029739
1:01:55 AM,123,17.813125,-24,-24,17.813125,-27.432450902851
1:01:58 AM,126,12.703125,-24,-24,12.703125,-43.71983708805
1:02:01 AM,128,7.303125,-23,-23,7.303125,-39.2184604858742
1:02:04 AM,129,0.853124999999999,-23,-23,0.853124999999999,-33.7129095296828
1:02:07 AM,130,-6.766875,-22,-22,-6.766875,-27.1549326511182
1:02:10 AM,132,-15.116875,-19,-19,-15.116875,-14.2341486699559
1:02:13 AM,133,-17.17,-17,-17,-17.17,-9.54756533890165
1:02:16 AM,134,-16.675,-15,-15,-16.675,-6.95021093570282
1:02:19 AM,135,-15.9875,-14,-14,-15.9875,-6.22623388184035
1:02:22 AM,136,-15.2125,-12,-12,-15.2125,-6.94898990593698
1:02:25 AM,137,-14.2791666666667,-12,-12,-14.2791666666667,-8.69183473661546
1:02:28 AM,138,-13.1291666666667,-11,-11,-13.1291666666667,-11.0281241024986
1:02:31 AM,139,-11.5791666666667,-11,-11,-11.5791666666667,-13.5312137322091
1:02:34 AM,140,-9.57916666666667,-11,-11,-9.57916666666667,-15.7853559247071
1:02:37 AM,141,-7.52916666666667,-12,-12,-7.52916666666667,-17.418389260302
1:02:40 AM,142,-5.42916666666667,-12,-12,-5.42916666666667,-18.0690488896407
1:02:43 AM,143,-3.27916666666667,-12,-12,-3.27916666666667,-17.3760699633701
1:02:46 AM,144,-1.05416666666667,-11.5,-11.5,-1.05416666666667,-14.9781876321368
1:02:49 AM,145,1.29583333333333,-10.25,-10,1.29583333333333,-10.6939290507266
1:02:52 AM,146,3.69583333333333,-8.5,-8.5,3.69583333333333,-5.06098939047952
1:02:55 AM,147,6.27083333333333,-5.33333333333333,-6,6.27083333333333,1.20314417312527
1:02:58 AM,148,9.07083333333333,-1,-1,9.07083333333333,7.38098446460889
1:03:01 AM,150,12.0208333333333,8,8,12.0208333333333,16.6078365292963
1:03:04 AM,151,15.1708333333333,17,17,15.1708333333333,18.419156570027
1:03:07 AM,152,18.5708333333333,19,19,18.5708333333333,18.4579303476297
1:03:10 AM,154,22.1708333333333,23,23,22.1708333333333,15.0826732551723
1:03:13 AM,159,26.0958333333333,26,26,26.0958333333333,8.2595683994068
1:03:16 AM,161,30.3708333333333,29.5,29.5,30.3708333333333,15.9667208512872
1:03:19 AM,163,34.8833333333333,33,33,34.8833333333333,35.232029667866
1:03:22 AM,164,39.6083333333333,36,36,39.6083333333333,49.5793218431724
1:03:25 AM,166,112.158333333333,39.5,39.5,112.158333333333,72.7599958219192
1:03:28 AM,167,198.498333333333,45,45,198.498333333333,73.1034881963742
1:03:31 AM,168,323.635833333333,48,48,323.635833333333,60.2891578748932
1:03:34 AM,169,476.744166666667,52,52,476.744166666667,30.0720601429825
1:03:37 AM,170,621.610833333333,56,56,621.610833333333,-14.9138471109031
1:03:40 AM,171,781.806666666667,60,60,781.806666666667,-44.5189955865259
1:03:43 AM,172,895.161666666667,66.5,66.5,895.161666666667,-21.7149143807017
1:03:46 AM,173,958.619166666667,74,74,958.619166666667,90.5268674097541
