,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,141.0,498.0,122.97893087990236,6.724505243775089,-30.425593059128175,0.15
2,498.0,624.0,130.50393007607033,6.093489912031415,-30.320639974183106,0.15
3,624.0,747.0,141.18849017199966,6.179230488066491,-27.504175199632776,0.15
4,747.0,1623.0,154.56802562419264,8.475057979515185,-26.042328932520007,0.15
