,0
t_max (s),525.9666666666667
t_mean (s),614.19383045887
t_std (s),258.3095027447185
T_max (K),569.4722222222222
T_mean (K),605.1741336051824
T_std (K),106.84186456868991
max_rate (frac/s),0.003153848315137545
max_rate (frac/K),0.009461544945412714
