date_time,fraction,ug_frac,d13C,d13C_std,Fm,Fm_std,temp,bulk13,bulk14,d14C,d14C_err
1:00:01 AM,-1,0,0,0,0,0,0,-26.34,-160.5,,
1:02:52 AM,0,0,0,0,0,0,140,,,,
1:09:04 AM,1,0.071,-30.4,0.15,0.851808808,0.001331477,285,,,-155.2711735,1.33147715
1:12:28 AM,2,0.362,-28.9,0.15,0.869443792,0.001414935,370,,,-137.7827668,1.41493504
1:15:04 AM,3,0.372,-27.4,0.15,0.822184491,0.001289918,435,,,-184.649262,1.289917531
1:32:19 AM,4,0.187,-26.4,0.15,0.831712017,0.001297425,839,,,-175.2009265,1.297424921
