"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled","CO2_prop"
178,380,380,306.359289215686,363.452238412081,306.359289215686,0.00541313866324507
179,384,384,321.10262254902,379.152706041092,321.10262254902,0.00567364229574824
180,384,384,339.031094771242,388.917434610253,339.031094771242,0.00599042494140421
181,385,385,357.218594771242,394.410434865918,357.218594771242,0.00631178441344704
182,386,386,380.318594771242,397.295717554445,380.318594771242,0.00671994407278391
183,388,388,404.388594771242,399.171041962551,404.388594771242,0.00714524290396307
184,392,392,429.655261437908,401.369161538398,429.655261437908,0.00759168593683082
185,399.5,399.5,439.255261437908,405.15657827051,439.255261437908,0.00776131073032147
186,407.5,407.5,449.255261437909,411.799794147408,449.255261437909,0.00793800322354089
187,414,414,459.005261437909,422.565311157619,459.005261437909,0.00811027840442983
188,480.294117647059,490,469.330261437909,438.231445126661,469.330261437909,0.00829271340367889
189,471.866666666667,486,480.005261437909,457.623767228047,480.005261437909,0.00848133264019063
190,480.444444444444,485,491.130261437909,479.079662472289,491.130261437909,0.00867790303889724
191,471.5,471.5,502.580261437909,500.936515869896,502.580261437909,0.00888021594363348
194,542,542,518.142761437909,552.286675088014,518.142761437909,0.00915519363620621
195,551,551,539.799904295051,559.121211204187,539.799904295051,0.00953785909294999
196,556,556,560.434519679667,559.052836474199,560.434519679667,0.00990245725684315
197,561,561,581.176186346333,555.464965648173,581.176186346333,0.0102689469365291
198,573,573,607.851186346334,552.750219424153,607.851186346334,0.0107402741621919
199,573,573,634.501186346333,555.301218500182,634.501186346333,0.0112111596566217
200,586.5,586.5,658.186480463981,567.510583574306,658.186480463981,0.0116296610236499
201,597.5,597.5,682.793147130647,592.455359158947,682.793147130647,0.0120644423519652
202,606.5,606.5,707.420924908425,627.950285024046,707.420924908425,0.0124995966977662
203,614,614,733.045924908425,670.494524753919,733.045924908425,0.0129523712116409
204,697.25,625,755.795924908425,716.587241932886,755.795924908425,0.0133543466337151
205,821.142857142857,917,778.945924908425,762.727600145265,778.945924908425,0.0137633897555181
206,804.692307692308,888,802.995924908425,805.414762975375,802.995924908425,0.0141883352017108
207,814.333333333333,816.5,828.529258241758,841.847429004783,828.529258241758,0.0146394900343978
210,941,941,865.435508241758,916.384971983463,865.435508241758,0.0152915957671857
211,947,947,915.573008241758,931.965246499231,915.573008241758,0.0161774877550646
213,954,954,964.461644605395,953.405677221977,964.461644605395,0.0170413132599835
214,964,964,1019.51164460539,960.658580564589,1019.51164460539,0.0180140054351564
215,973,973,1079.73664460539,967.345485591073,1079.73664460539,0.0190781359755704
216,984,984,1141.13664460539,978.247990565704,1141.13664460539,0.0201630278839377
217,997,997,1199.97414460539,998.964738692051,1199.97414460539,0.0212026423409175
218,1014,1014,1255.16700174825,1035.09437317368,1255.16700174825,0.022177858694565
219,1037,1037,1315.6490530303,1092.23553721416,1315.6490530303,0.0232465311381701
220,1071.66666666667,1071,1379.18238636364,1175.98687401705,1379.18238636364,0.0243691174450908
221,1311.125,1206.5,1438.13238636364,1288.67763730725,1438.13238636364,0.0254107196926193
222,1575.75,1660.5,1500.2490530303,1419.55952289492,1500.2490530303,0.0265082745630006
223,1564.27272727273,1541.5,1586.58238636364,1554.61483711157,1586.58238636364,0.0280337197544617
224,1698.5,1697.5,1684.28238636364,1679.82588628868,1684.28238636364,0.0297600054132155
225,1811,1811,1784.48238636364,1781.17497675774,1784.48238636364,0.0315304641952741
228,1842,1842,1884.39310064935,1908.82910202288,1884.39310064935,0.0332958115159218
229,1874,1874,2014.79310064935,1921.12212776275,2014.79310064935,0.0355998816275031
231,1925,1925,2148.15976731602,1958.82188359702,2148.15976731602,0.0379563705120728
232,2014.33333333333,2014,2285.75976731602,2003.72902315054,2285.75976731602,0.0403876592187721
233,2085,2085,2426.37643398268,2079.00794343438,2426.37643398268,0.0428722501609259
234,2120,2120,2629.39518398268,2191.40861707063,2629.39518398268,0.0464594390717051
235,2189.33333333333,2189,2788.39518398268,2335.68008825146,2788.39518398268,0.0492688497138939
236,2680.66666666667,2297,2973.08154761905,2503.57116906159,2973.08154761905,0.0525321191193478
237,2918,2914,3164.32876984127,2686.83067158571,3164.32876984127,0.0559113139709212
238,2977,2984.5,3424.22876984127,2877.20740790854,3424.22876984127,0.0605035518696941
239,2982.21428571429,2980,3689.72876984127,3066.45019011478,3689.72876984127,0.0651947375646698
242,3605,3605,3960.32876984127,3617.17490211704,3960.32876984127,0.0699760364311875
243,3681.33333333333,3680,4239.0621031746,3818.46416876816,4239.0621031746,0.0749010451921902
244,3789,3789,4527.62043650794,4041.64084771377,4527.62043650794,0.0799996543277811
245,3884,3884,4842.46043650794,4294.5230775355,4842.46043650794,0.0855626407843015
246,5371.5,5371.5,5161.71876984127,4584.92899681492,5161.71876984127,0.091203695874076
247,4755.75,4090.5,5490.0208531746,4917.80167259716,5490.0208531746,0.0970045472374059
248,5258,4279,5847.33751984127,5286.58388578149,5847.33751984127,0.103318064507625
249,5523.44444444444,5475,6199.98751984127,5681.84334573065,6199.98751984127,0.109549125281008
251,7009,7009,6554.43751984127,6514.0648433746,6554.43751984127,0.11581199070317
252,7152,7152,6913.37680555556,6932.16229979495,6913.37680555556,0.122154178433896
253,7286,7286,7246.07680555556,7339.00784043122,7246.07680555556,0.128032737683306
254,7499.66666666667,7498,7580.06013888889,7726.35071753871,7580.06013888889,0.133933972469346
255,7785.5,7785.5,7916.83513888889,8090.66635494271,7916.83513888889,0.139884533909744
256,8381.8,8135,8257.68513888889,8429.61171936106,8257.68513888889,0.145907097541128
257,8505.16666666667,8332.5,8530.41013888889,8740.84377751151,8530.41013888889,0.150725943562454
258,8755.375,8629,8843.84763888889,9022.01949611189,8843.84763888889,0.156264148896801
259,9827,9827,9142.39763888889,9271.51318009243,9142.39763888889,0.161539303281867
261,9971,9971,9570.56541666667,9681.14641352569,9570.56541666667,0.169104706499044
265,10066,10066,9996.39041666667,10197.9042300641,9996.39041666667,0.176628714591561
266,10161,10161,10459.2104166667,10275.5101920018,10459.2104166667,0.184806396562742
267,10259,10259,10903.79375,10336.4047490452,10903.79375,0.192661850323789
269,10361,10361,11251.8354166667,10415.9036324184,11251.8354166667,0.198811485306547
270,10524.5,10524.5,11988.9604166667,10450.4986175749,11988.9604166667,0.211835930712984
271,10701,10701,12724.8704166667,10548.6381828599,12724.8704166667,0.224838907981494
272,10826,10826,13481.6120833333,10784.6953253195,13481.6120833333,0.23820996516213
273,11024.5,11024.5,14250.2933333333,11233.0430419998,14250.2933333333,0.251791985817483
274,11229,11229,14986.7433333333,11968.0543299467,14986.7433333333,0.264804504480627
275,14086.8,11645,15733.6933333333,13033.4140804369,15733.6933333333,0.278002550261652
276,15525.5,17179,16489.7433333333,14350.0547616698,16489.7433333333,0.291361386211507
277,16408.4,16647.5,17254.8683333333,15808.2207360749,17254.8683333333,0.304880570598958
278,16177.6666666667,15797.5,18388.3558333333,17298.1563660822,18388.3558333333,0.324908443839763
279,14460.5,14515,19519.0808333333,18710.1060141214,19519.0808333333,0.344887505779317
280,22528,22528,20646.3933333333,19934.3140426225,20646.3933333333,0.364806271405559
283,23100,23100,21820.3219047619,22276.9818755566,21820.3219047619,0.385548708020283
284,23640,23640,23002.794981685,22877.8464610693,23002.794981685,0.406442119632921
285,24129,24129,24231.7588705739,23536.9022084035,24231.7588705739,0.428156988993363
286,24556,24556,25652.9588705739,24343.0712222916,25652.9588705739,0.453268526129708
287,24910,24910,26917.7188705739,25385.2756074662,26917.7188705739,0.475615885902128
288,25187,25187,28086.6688705739,26720.3306744411,28086.6688705739,0.496270354897013
289,25463.5,25463.5,29178.3488705739,28276.6245568559,29178.3488705739,0.515559520996791
290,32928.75,32943,30255.0355372405,29950.4385941318,30255.0355372405,0.534583766151735
291,32975.5,32990.5,31385.6355372405,31638.0541256897,31385.6355372405,0.554560619435124
292,33070.75,33114.5,32062.2712515263,33235.7524909509,32062.2712515263,0.566516264570969
293,34179.5714285714,39365,32733.9212515263,34654.9047957047,32733.9212515263,0.578383815878051
294,34475.4615384615,37765,33532.8212515262,35867.2412112142,33532.8212515262,0.592499779161351
