"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled","CO2_prop"
268,56898.5,56898.5,61531.1636080586,54346.8211427611,61531.1636080586,0.502980909550641
269,60643.6,59601,64399.9136080586,57860.6037054424,64399.9136080586,0.52643124592758
270,63892.25,63858,67209.6386080586,61598.1727142381,67209.6386080586,0.549399087801808
272,67619,67619,69961.5136080586,69359.8785549213,69961.5136080586,0.571894040104131
274,68801,68788,72483.9802747253,76805.90721116,72483.9802747253,0.592513714817141
275,75431.1666666667,71903.5,75002.5469413919,80148.8797393998,75002.5469413919,0.613101509334292
276,84237.2857142857,78794,77707.734441392,83098.9375446733,77707.734441392,0.635214818907343
277,90185.5714285714,91812.5,80352.0705952381,85578.1602016101,80352.0705952381,0.656830704676891
279,93831,93831,83331.9809126984,89267.078556547,83331.9809126984,0.681189710974949
281,93601,93601,85872.9309126984,91635.3153609315,85872.9309126984,0.701960476017905
283,93423,93423,87929.8559126984,93129.2958883992,87929.8559126984,0.718774622650458
284,93294,93294,89792.8259126984,93687.9479463005,89792.8259126984,0.734003301747676
285,93211,93211,91496.2384126984,94195.4454125859,91496.2384126984,0.74792769254983
287,93187,93187,93027.8384126984,95216.5179283333,93027.8384126984,0.760447617672242
288,93293,93293,94598.9759126984,95754.1512878624,94598.9759126984,0.773290738498185
289,93528.3333333333,93646,95905.2898015873,96320.5823153072,95905.2898015873,0.783969082762519
290,97550,99306,96822.956765873,96923.8607107765,96822.956765873,0.791470468032935
291,97298.8,97051,97495.0281944444,97572.0361743794,97495.0281944444,0.796964254898061
292,101884.777777778,101628,97989.4031944444,98263.3761275285,97989.4031944444,0.801005478443629
293,105648.333333333,106283,98520.2031944444,98957.0188768507,98520.2031944444,0.805344454844109
295,98037,98037,99089.8531944445,100148.636875738,99089.8531944445,0.810001007041799
296,97903,97903,99685.2031944444,100545.324181164,99685.2031944444,0.81486764155579
297,97960.5,97960.5,100850.533194444,100741.738394486,100850.533194444,0.824393525822505
298,98251,98251,102037.118194444,100711.965512828,102037.118194444,0.83409315715665
299,100223.75,99299.5,103216.648963675,100529.011410086,103216.648963675,0.843735124321935
300,101557.444444444,101115,104656.882297009,100290.611929349,104656.882297009,0.855508180924269
301,102590.625,102699,105873.382297009,100094.502913708,105873.382297009,0.86545234970947
302,103627,103627,107078.192297009,100038.420206251,107078.192297009,0.875300959651186
306,103718.5,103718.5,108018.20340812,103169.069320053,108018.20340812,0.882984995120856
307,104217,104197,108739.086741453,105228.038843856,108739.086741453,0.888877790469072
308,104816,104816,109819.311741453,107706.747998364,109819.311741453,0.897707991641283
309,105201,105201,110893.986741453,110396.230890649,110893.986741453,0.906492824842463
310,116517.6,123137,111648.749241453,113087.521627785,111648.749241453,0.912662562362184
311,116918.7,121724.5,112439.249241453,115571.654316844,112439.249241453,0.919124432830496
312,116883.615384615,117251,113104.836741453,117676.822921835,113104.836741453,0.92456521741029
313,122333,122333,113341.114519231,119379.860834499,113341.114519231,0.926496648649431
317,121880,121880,113520.283269231,122450.570535422,113520.283269231,0.927961247326811
319,121395,121395,113640.483269231,121936.965697516,113640.483269231,0.928943811311999
320,120685,120685,113733.808269231,121216.899726839,113733.808269231,0.929706688050083
321,120066,120066,113760.358269231,120206.649053249,113760.358269231,0.929923718614199
322,119641.5,119641.5,113753.458269231,118929.195244478,113753.458269231,0.929867315190756
323,119396.5,119396.5,113688.563824786,117443.473144482,113688.563824786,0.929336841447413
324,113055.75,113058.5,112974.879279332,115817.405916274,112974.879279332,0.923502891937023
325,114061,111327,112590.794279332,114118.916722867,112590.794279332,0.920363223981524
326,113535.5,113799,112274.163510101,112415.928727271,112274.163510101,0.917774954510239
329,106283,106283,111553.413510101,107832.34684591,111553.413510101,0.911883249083248
331,106174,106174,110798.838510101,105623.517831297,110798.838510101,0.905715044265252
332,106031,106031,110017.338510101,104892.369343867,110017.338510101,0.899326743479691
333,105585,105604,109225.538510101,104463.041913239,109225.538510101,0.892854246279426
334,104748,104748,108441.971843434,104375.268322074,108441.971843434,0.886449051714863
335,104678,104072,107631.463510101,104668.781353037,107631.463510101,0.879823624942583
336,103903.111111111,102951,106678.488510101,105345.362799526,106678.488510101,0.872033617340383
337,102243.909090909,100560,106084.201010101,106254.99049789,106084.201010101,0.867175668136161
338,109237,109192,105307.541010101,107209.691295215,105307.541010101,0.860826931491102
339,110551,110640,104482.166010101,108021.492038586,104482.166010101,0.854079978502129
340,107918,107918,103948.166010101,108502.419575088,103948.166010101,0.849714843992226
343,106788.5,106788.5,103321.666010101,107307.287371178,103321.666010101,0.844593576631825
344,105765,105765,102654.766010101,106266.511677238,102654.766010101,0.839142063139962
345,104849,104802,101964.966010101,105045.713418026,101964.966010101,0.833503355677544
346,104394.666666667,104389,101236.916010101,103729.598542169,101236.916010101,0.827551977063433
347,103431.333333333,103638,100301.216010101,102402.872998295,100301.216010101,0.819903182380069
348,100337,100337,99349.4937878788,101150.242735032,99349.4937878788,0.812123415496054
349,101170,101170,98335.2483333333,100022.888797886,98335.2483333333,0.803832558126861
350,98527.8,99105,96967.3733333333,98937.892619874,96967.3733333333,0.792650988149831
351,97028,97028,95615.6233333333,97778.8107308904,95615.6233333333,0.781601230521064
352,95603,95603,94367.3066666667,96429.1996608305,94367.3066666667,0.771396979283322
353,93644,93644,93348.5053508772,94772.6159395892,93348.5053508772,0.763068880440087
354,92693,92693,92321.1553508772,92746.5738424723,92321.1553508772,0.75467090115404
355,91789,91789,91335.5886842105,90504.4186264277,91335.5886842105,0.746614475932173
356,90187,90164,90307.1053508772,88253.4532938147,90307.1053508772,0.738207232315705
357,85964,87720,89286.0886842105,86200.980846992,89286.0886842105,0.729861024287891
358,84868.6666666667,84908.5,88413.4386842105,84554.3042883185,88413.4386842105,0.722727626104244
360,81959,81959,87608.0386842105,82895.4314121303,87608.0386842105,0.716143956938933
363,81879.5,81879.5,86936.9653508772,83224.0987634299,86936.9653508772,0.710658328912699
364,83516,82205,86244.5153508772,83677.7020359468,86244.5153508772,0.704997959265915
365,82951.6666666667,82924,85835.3820175439,84133.6847658649,85835.3820175439,0.701653535984108
366,86412.4736842105,86927,85572.8820175439,84490.2603809995,85572.8820175439,0.699507753570532
367,85218,85408.5,85441.7820175439,84645.642309166,85441.7820175439,0.698436088525123
368,85137.6666666667,84939,85382.2820175439,84533.3192485611,85382.2820175439,0.697949711178046
369,83825,83907.5,85444.0820175439,84227.880978905,85444.0820175439,0.698454889666271
371,83011,83011,85712.2153508772,83477.1190128443,85712.2153508772,0.700646721251643
372,82884,82884,86204.8695175439,83251.5254166423,86204.8695175439,0.704673878001388
374,85062,82788,86809.8695175439,83649.2382484017,86809.8695175439,0.709619395564107
375,85106.3333333333,82790,87504.3778508772,84452.5836523377,87504.3778508772,0.715296590869816
376,83179,83149,88120.3278508772,85593.7224525647,88120.3278508772,0.720331618213215
377,87420.3333333333,88027,88729.2195175439,86944.3729538172,88729.2195175439,0.725308947851715
378,88394,88394,89076.7833333333,88376.2534608292,89076.7833333333,0.728150076703206
379,90071,90071,89423.6583333333,89761.0822783353,89423.6583333333,0.730985574892575
380,90599,90599,89883.5541666667,90970.5777110699,89883.5541666667,0.734744951621122
381,91423,91224,90421.9541666667,91908.7976025602,90421.9541666667,0.739146053531481
382,91326.6666666667,91644,90975.5041666667,92609.1579515056,90975.5041666667,0.743670997741138
383,94721.75,94827,91339.4791666667,93137.4142953982,91339.4791666667,0.746646278327734
384,94059,94059,91569.5166666667,93559.3221717302,91569.5166666667,0.748526698982831
385,95769.6666666667,95952,91775.4333333333,93940.637117994,91775.4333333333,0.750209946076147
388,95835,95835,92087.8444444444,95021.2978195023,92087.8444444444,0.752763722335301
389,95129.5,95129.5,92185.4959595959,95243.7434027697,92185.4959595959,0.75356196577862
390,93363.75,93420.5,92035.9959595959,95330.1231373898,92035.9959595959,0.752339891604031
391,92155.5,91548.5,91810.8959595959,95240.1299093447,91810.8959595959,0.750499832094332
392,94335.5833333333,94652.5,91639.370959596,94933.4566046166,91639.370959596,0.749097716557233
393,94593,94593,91886.730959596,94369.7961091877,91886.730959596,0.751119738415603
395,94082,94082,92360.1726262626,92492.7688640895,92360.1726262626,0.754989844328698
399,90163.5,90163.5,92799.2422691198,88260.9656430989,92799.2422691198,0.758578979254329
400,89662.75,89811.5,93136.0672691198,87666.7255314568,93136.0672691198,0.761332324631291
401,89224.6666666667,90597,93583.6339357864,87451.0811301213,93583.6339357864,0.764990917706477
402,89427.2222222222,89387,93577.8839357864,87710.5881555245,93577.8839357864,0.764943914853608
403,89373.3636363636,89602,93533.6089357864,88499.0899344484,93533.6089357864,0.764581992886518
405,85404,85404,93411.6589357864,91152.3404359308,93411.6589357864,0.76358512368524
406,85569,85569,93124.6702994228,92697.6519155504,93124.6702994228,0.76123916113741
407,87168.5,87059.5,92781.9411327561,94175.7960524631,92781.9411327561,0.758437552686161
408,96370.2,96846.5,92613.6911327561,95427.0542251992,92613.6911327561,0.757062208339174
409,100795.5,100795.5,92444.3786327561,96322.2262600874,92444.3786327561,0.755678178682417
410,103503.142857143,103785,92552.5036327561,96854.1857746477,92552.5036327561,0.756562036676581
411,100795.5,100795.5,92703.9661327561,97046.3248341986,92703.9661327561,0.757800153129214
412,104721,104721,92467.4994660895,96922.0355040582,92467.4994660895,0.755867177835003
413,95720,95720,92285.8883549783,96504.7098495447,92285.8883549783,0.7543826142985
414,94244,94244,92094.5993398268,95817.7399359765,92094.5993398268,0.752818939614224
415,90924.75,90862,92239.0266125541,94894.3723159304,92239.0266125541,0.753999547240353
416,86415.7272727273,86259,92216.6432792208,93807.2714910188,92216.6432792208,0.753816576714548
418,87481,87481,91772.6682792208,91471.946182083,91772.6682792208,0.750187343392386
419,91228,91656,90611.4832792208,90388.7596758009,90611.4832792208,0.740695342051783
420,90695.75,90427,89303.9916125541,89471.9159201373,89303.9916125541,0.730007370149952
421,92326,92326,88045.934469697,88778.9248073024,88045.934469697,0.719723496274079
422,92692,92692,86766.1061363637,88267.2598428629,86766.1061363637,0.709261655778601
425,84495.3333333333,80893,85157.0461363636,87144.8659289756,85157.0461363636,0.696108540919978
426,85795,85795,83718.7961363636,86683.1496471763,83718.7961363636,0.684351696895879
427,85547.5833333333,85093,82338.4961363636,86065.0815583017,82338.4961363636,0.673068559884607
428,88292.5454545455,87947,81109.1086363636,85223.1260712576,81109.1086363636,0.663019043400911
429,85121.3333333333,88147,80082.9972727273,84109.4814642731,80082.9972727273,0.654631189235343
431,78289,78289,78931.2472727273,81211.3937818943,78931.2472727273,0.645216313445491
433,73146.5,73146.5,77566.5556060606,77758.0256406037,77566.5556060606,0.634060765337731
434,74645.6666666667,78090,76267.1181060606,75950.2804599796,76267.1181060606,0.623438631489954
435,78342,78342,74920.8681060606,74156.3180391634,74920.8681060606,0.612433833111757
436,75198.9333333333,77207,73562.5181060606,72424.5298894976,73562.5181060606,0.601330124382306
437,72539.8,72339,72467.7371536796,70793.403068314,72467.7371536796,0.592380936899117
438,66955,66955,71355.7184036796,69298.9485194422,71355.7184036796,0.583290840604576
440,66638,66638,70185.7225703463,66864.1000139508,70185.7225703463,0.573726815906962
441,66337,66337,68467.595297619,65995.7279449899,68467.595297619,0.559682140531329
442,65893.5,65893.5,67024.8786309524,65408.0719236579,67024.8786309524,0.547888784146161
443,64446,64367.5,65954.745297619,65113.6896545901,65954.745297619,0.53914107638674
444,63934.1666666667,63849.5,65149.470297619,65031.3258856447,65149.470297619,0.532558429022578
445,64707,64718,64266.6480753968,65056.2721254859,64266.6480753968,0.525341878932069
446,65401,65401,62726.5580753968,65083.819882778,62726.5580753968,0.512752553075596
448,65525,65525,61325.3197420635,64727.8859843715,61325.3197420635,0.501298257559804
450,62599.7142857143,60961,59786.1547420635,63328.7591869038,59786.1547420635,0.488716493031835
451,63554.625,63863,58526.0047420635,62280.5816134306,58526.0047420635,0.478415511285291
452,62147.6666666667,62911,57382.2847420635,61063.2861955153,57382.2847420635,0.469066276001271
454,53930,53930,56184.2435655929,58311.2166425115,56184.2435655929,0.45927299719285
455,56267,56267,54693.4685655929,56871.3799154994,54693.4685655929,0.447086792325807
456,56886.3333333333,59164,53170.7352322596,55443.2745788297,53170.7352322596,0.43463934696492
457,57041,57195,51620.5393989262,54029.2414296992,51620.5393989262,0.421967411891528
458,56989.2222222222,57695,50018.6227322596,52622.5956839365,50018.6227322596,0.408872689562584
459,47540.2,46091,48295.7227322596,51216.6525573701,48295.7227322596,0.39478899996125
460,47174.1666666667,47092,46374.944160831,49804.7272658283,46374.944160831,0.379087769946221
464,41756.5,41756.5,44646.0584465453,43963.5087664782,44646.0584465453,0.364955150666993
465,41752,42276,42934.9938632119,42426.654474094,42934.9938632119,0.350968208604481
466,43763.6,43199,41035.9105298786,40875.2308313457,41035.9105298786,0.335444324343216
467,42376.1764705882,43638,39526.0605298786,39334.0745737018,39526.0605298786,0.323102192620786
