,t0 (s),tf (s),E (kJ/mol),E std. (kJ/mol),d13C (VPDB),d13C std. (VPDB)
1,156.0,525.0,122.36117242708926,8.03721873407277,-25.865318155829485,0.15
2,525.0,669.0,132.90697781101036,5.687428116843859,-26.28285976517819,0.15
3,669.0,819.0,145.31982461290673,7.6937506383037055,-26.399381798324907,0.15
4,819.0,909.0,158.94444421560112,5.9370392915347745,-26.35211032619933,0.15
5,909.0,1023.0,167.79796055456,6.574720154132139,-26.426617769705118,0.15
6,1023.0,1605.0,185.88714880888276,10.248997526170523,-26.426306438533164,0.15
